Category,phylum,Name,Level,WithinNWA,SEQavailable,BIN,SPsharingBIN,SPmissingSEQ.genus,SPmissingSEQ.family,AphiaID,genus,family,order,class,kingdom,TaxonomicProblems,MorphoIDProblems,Validity
Chordata,Chordata,Anarhichas lupus,Species,Yes,Yes,BOLD:AAB9789,NA,NA,NA,126758,Anarhichas,Anarhichadidae,Perciformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Anarhichas minor,Species,Yes,Yes,BOLD:ACE4267,NA,NA,NA,126759,Anarhichas,Anarhichadidae,Perciformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Anguilla rostrata,Species,Yes,Yes,BOLD:AAB7300,NA,NA,NA,158562,Anguilla,Anguillidae,Anguilliformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Anisarchus medius,Species,Yes,Yes,BOLD:AAB5495,NA,NA,NA,127070,Anisarchus,Stichaeidae,Perciformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Anoplogaster cornuta,Species,Yes,Yes,BOLD:AAB6136,NA,NA,NA,126393,Anoplogaster,Anoplogastridae,Beryciformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Apeltes quadracus,Species,Yes,Yes,BOLD:AAA2165,NA,NA,NA,159436,Apeltes,Gasterosteidae,Gasterosteiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Arctogadus glacialis,Species,Yes,Yes,BOLD:AAC3850,NA,NA,NA,126432,Arctogadus,Gadidae,Gadiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Arctozenus risso,Species,Yes,Yes,BOLD:AAA8780,NA,NA,NA,126352,Arctozenus,Paralepididae,Aulopiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Argentina silus,Species,Yes,Yes,BOLD:AAC4252,NA,NA,NA,126715,Argentina,Argentinidae,Argentiniformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Argyropelecus gigas,Species,Yes,Yes,BOLD:AAC0977,NA,NA,NA,127308,Argyropelecus,Sternoptychidae,Stomiiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Artediellus atlanticus,Species,Yes,Yes,BOLD:AAA7009,NA,NA,NA,127193,Artediellus,Cottidae,Scorpaeniformes,Actinopterygii,Animalia,0,1,Reliable
Chordata,Chordata,Artediellus uncinatus,Species,Yes,Yes,BOLD:ACF1553,NA,NA,NA,127195,Artediellus,Cottidae,Scorpaeniformes,Actinopterygii,Animalia,0,1,Reliable
Chordata,Chordata,Aspidophoroides monopterygius,Species,Yes,Yes,BOLD:AAA9928,Aspidophoroides olrikii,NA,NA,159459,Aspidophoroides,Agonidae,Scorpaeniformes,Actinopterygii,Animalia,0,0,Unreliable - BIN sharing
Chordata,Chordata,Aspidophoroides olrikii,Species,Yes,Yes,BOLD:AAA9928,Aspidophoroides monopterygius,NA,NA,309268,Aspidophoroides,Agonidae,Scorpaeniformes,Actinopterygii,Animalia,0,0,Unreliable - BIN sharing
Chordata,Chordata,Bathylagus euryops,Species,Yes,Yes,BOLD:AAB5134,NA,NA,NA,126719,Bathylagus,Bathylagidae,Argentiniformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Bathyraja spinicauda,Species,Yes,Yes,BOLD:AAA8067,NA,NA,NA,105868,Bathyraja,Arhynchobatidae,Rajiformes,Elasmobranchii,Animalia,0,0,Reliable
Chordata,Chordata,Benthosema glaciale,Species,Yes,Yes,BOLD:AAC5632,NA,NA,Notoscopelus kroyeri,126580,Benthosema,Myctophidae,Myctophiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Boltenia ovifera,Species,Yes,Yes,BOLD:ADU0694,NA,NA,NA,103815,Boltenia,Pyuridae,Stolidobranchia,Ascidiacea,Animalia,0,0,Reliable
Chordata,Chordata,Boreogadus saida,Species,Yes,Yes,BOLD:AAA9472,NA,NA,NA,126433,Boreogadus,Gadidae,Gadiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Borostomias antarcticus,Species,Yes,Yes,BOLD:AAB5140,NA,NA,NA,127334,Borostomias,Stomiidae,Stomiiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Brevoortia tyrannus,Species,Yes,Yes,BOLD:AAI8291,NA,NA,NA,158691,Brevoortia,Clupeidae,Clupeiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Brosme brosme,Species,Yes,Yes,BOLD:AAB8168,NA,NA,NA,126447,Brosme,Lotidae,Gadiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Carcharodon carcharias,Species,Yes,Yes,BOLD:AAA9092,NA,NA,NA,105838,Carcharodon,Lamnidae,Lamniformes,Elasmobranchii,Animalia,0,0,Reliable
Chordata,Chordata,Careproctus longipinnis,Species,Yes,No,NA,NA,NA,NA,146774,Careproctus,Liparidae,Scorpaeniformes,Actinopterygii,Animalia,1,1,No sequences available
Chordata,Chordata,Careproctus ranula,Species,Yes,No,NA,NA,NA,NA,159523,Careproctus,Liparidae,Scorpaeniformes,Actinopterygii,Animalia,1,1,No sequences available
Chordata,Chordata,Careproctus reinhardti,Species,Yes,Yes,BOLD:AAB1887,NA,"Careproctus longipinnis, Careproctus ranula","Careproctus longipinnis, Careproctus ranula, Liparis coheni, Liparis bathyarticus",127212,Careproctus,Liparidae,Scorpaeniformes,Actinopterygii,Animalia,1,1,Unreliable - gaps
Chordata,Chordata,Caristius fasciatus,Species,Yes,Yes,BOLD:AAD6436,NA,NA,NA,873087,Caristius,Caristiidae,Perciformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Catostomus commersonii,Species,Yes,Yes,BOLD:AAA5037,NA,NA,NA,158707,Catostomus,Catostomidae,Cypriniformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Centroscyllium fabricii,Species,Yes,Yes,BOLD:AAB8905,NA,NA,NA,105906,Centroscyllium,Etmopteridae,Squaliformes,Elasmobranchii,Animalia,0,0,Reliable
Chordata,Chordata,Ceratias holboelli,Species,Yes,Yes,BOLD:AAC1510,NA,NA,NA,126537,Ceratias,Ceratiidae,Lophiiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Cetorhinus maximus,Species,Yes,Yes,BOLD:AAA6526,NA,NA,NA,105837,Cetorhinus,Cetorhinidae,Lamniformes,Elasmobranchii,Animalia,0,0,Reliable
Chordata,Chordata,Chauliodus sloani,Species,Yes,Yes,"BOLD:AAB1178, BOLD:AAB1179",NA,NA,NA,127338,Chauliodus,Stomiidae,Stomiiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Clupea harengus,Species,Yes,Yes,BOLD:AAB7944,NA,NA,NA,126417,Clupea,Clupeidae,Clupeiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Coregonus clupeaformis,Species,Yes,Yes,BOLD:ACA5470,NA,NA,NA,158726,Coregonus,Salmonidae,Salmoniformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Cottunculus microps,Species,Yes,Yes,BOLD:AAD1283,NA,NA,NA,127235,Cottunculus,Psychrolutidae,Scorpaeniformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Cryptacanthodes maculatus,Species,Yes,Yes,BOLD:AAC4609,NA,NA,NA,159675,Cryptacanthodes,Cryptacanthodidae,Perciformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Cryptopsaras couesii,Species,Yes,Yes,BOLD:AAC1509,NA,NA,NA,126538,Cryptopsaras,Ceratiidae,Lophiiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Cyclopterus lumpus,Species,Yes,Yes,BOLD:AAA9151,NA,NA,NA,127214,Cyclopterus,Cyclopteridae,Scorpaeniformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Cyclothone braueri,Species,Yes,No,NA,NA,NA,NA,127284,Cyclothone,Gonostomatidae,Stomiiformes,Actinopterygii,Animalia,1,1,No sequences available
Chordata,Chordata,Cyclothone microdon,Species,Yes,Yes,BOLD:AAB4944,NA,Cyclothone braueri,Cyclothone braueri,127286,Cyclothone,Gonostomatidae,Stomiiformes,Actinopterygii,Animalia,1,1,Unreliable - gaps
Chordata,Chordata,Cyclothone pallida,Species,Yes,Yes,BOLD:AAC8495,NA,Cyclothone braueri,Cyclothone braueri,127288,Cyclothone,Gonostomatidae,Stomiiformes,Actinopterygii,Animalia,NA,NA,Unreliable - gaps
Chordata,Chordata,Dactylopterus volitans,Species,Yes,Yes,BOLD:AAB9833,NA,NA,NA,127232,Dactylopterus,Dactylopteridae,Scorpaeniformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Dendrodoa carnea,Species,Yes,No,NA,NA,NA,NA,103881,Dendrodoa,Styelidae,Stolidobranchia,Ascidiacea,Animalia,0,0,No sequences available
Chordata,Chordata,Didemnum albidum,Species,Yes,Yes,BOLD:ADW1154,NA,NA,NA,103560,Didemnum,Didemnidae,Aplousobranchia,Ascidiacea,Animalia,0,1,Reliable
Chordata,Chordata,Enchelyopus cimbrius,Species,Yes,Yes,BOLD:AAB4061,NA,NA,NA,126450,Enchelyopus,Lotidae,Gadiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Epigonus pandionis,Species,Yes,Yes,BOLD:AAD3673,NA,NA,NA,159706,Epigonus,Epigonidae,Perciformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Eumesogrammus praecisus,Species,Yes,Yes,BOLD:AAB8912,NA,NA,NA,159817,Eumesogrammus,Stichaeidae,Perciformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Eumicrotremus spinosus,Species,Yes,Yes,BOLD:AAB3781,Eumicrotremus terraenovae,NA,NA,127217,Eumicrotremus,Cyclopteridae,Scorpaeniformes,Actinopterygii,Animalia,0,0,Unreliable - BIN sharing
Chordata,Chordata,Eumicrotremus terraenovae,Species,Yes,Yes,BOLD:AAB3781,Eumicrotremus spinosus,NA,NA,159521,Eumicrotremus,Cyclopteridae,Scorpaeniformes,Actinopterygii,Animalia,0,0,Unreliable - BIN sharing
Chordata,Chordata,Fritillaria borealis,Species,Yes,No,NA,NA,NA,NA,103375,Fritillaria,Fritillariidae,Copelata,Appendicularia,Animalia,0,0,No sequences available
Chordata,Chordata,Fundulus diaphanus,Species,Yes,Yes,BOLD:AAB3169,NA,NA,NA,159296,Fundulus,Fundulidae,Cyprinodontiformes,Actinopterygii,Animalia,NA,NA,Reliable
Chordata,Chordata,Fundulus heteroclitus,Species,Yes,Yes,BOLD:AAB8943,NA,NA,NA,159306,Fundulus,Fundulidae,Cyprinodontiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Fundulus majalis,Species,Yes,Yes,BOLD:AAV0380,NA,NA,NA,159308,Fundulus,Fundulidae,Cyprinodontiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Gadus macrocephalus,Species,Yes,Yes,BOLD:AAB3717,NA,NA,NA,254538,Gadus,Gadidae,Gadiformes,Actinopterygii,Animalia,0,1,Reliable
Chordata,Chordata,Gadus morhua,Species,Yes,Yes,BOLD:ACF1143,NA,NA,NA,126436,Gadus,Gadidae,Gadiformes,Actinopterygii,Animalia,0,1,Reliable
Chordata,Chordata,Gaidropsarus ensis,Species,Yes,Yes,BOLD:AAC8766,NA,NA,NA,126453,Gaidropsarus,Lotidae,Gadiformes,Actinopterygii,Animalia,0,1,Reliable
Chordata,Chordata,Gasterosteus aculeatus,Species,Yes,Yes,BOLD:AAA8488,NA,NA,NA,126505,Gasterosteus,Gasterosteidae,Gasterosteiformes,Actinopterygii,Animalia,0,1,Reliable
Chordata,Chordata,Gasterosteus wheatlandi,Species,Yes,Yes,BOLD:AAC0629,NA,NA,NA,159437,Gasterosteus,Gasterosteidae,Gasterosteiformes,Actinopterygii,Animalia,0,1,Reliable
Chordata,Chordata,Glyptocephalus cynoglossus,Species,Yes,Yes,BOLD:AAA8848,NA,NA,Pleuronectes putnami,127136,Glyptocephalus,Pleuronectidae,Pleuronectiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Gymnelus,Genus,Yes,Yes,BOLD:ACR0687,NA,NA,Lycodes terraenovae,NA,Gymnelus,Zoarcidae,Perciformes,Actinopterygii,Animalia,1,1,NA
Chordata,Chordata,Gymnelus hemifasciatus,Species,Yes,Yes,BOLD:ACA5464,Gymnelus viridis,NA,Lycodes terraenovae,254583,Gymnelus,Zoarcidae,Perciformes,Actinopterygii,Animalia,0,1,Unreliable - BIN sharing
Chordata,Chordata,Gymnelus retrodorsalis,Species,Yes,Yes,BOLD:AAC1869,NA,NA,Lycodes terraenovae,127095,Gymnelus,Zoarcidae,Perciformes,Actinopterygii,Animalia,0,1,Reliable
Chordata,Chordata,Gymnelus viridis,Species,Yes,Yes,BOLD:ACA5464,Gymnelus hemifasciatus,NA,Lycodes terraenovae,127096,Gymnelus,Zoarcidae,Perciformes,Actinopterygii,Animalia,0,1,Unreliable - BIN sharing
Chordata,Chordata,Gymnocanthus tricuspis,Species,Yes,Yes,BOLD:AAA9567,NA,NA,NA,127198,Gymnocanthus,Cottidae,Scorpaeniformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Halocynthia pyriformis,Species,Yes,Yes,BOLD:AAK5272,NA,NA,NA,103828,Halocynthia,Pyuridae,Stolidobranchia,Ascidiacea,Animalia,0,0,Reliable
Chordata,Chordata,Helicolenus dactylopterus,Species,Yes,Yes,BOLD:AAA9248,NA,NA,NA,127251,Helicolenus,Sebastidae,Scorpaeniformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Hemitripterus americanus,Species,Yes,Yes,BOLD:AAB2238,NA,NA,NA,159518,Hemitripterus,Hemitripteridae,Scorpaeniformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Hippoglossoides platessoides,Species,Yes,Yes,BOLD:AAA8851,NA,NA,Pleuronectes putnami,127137,Hippoglossoides,Pleuronectidae,Pleuronectiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Hippoglossus hippoglossus,Species,Yes,Yes,BOLD:AAB4160,NA,NA,Pleuronectes putnami,127138,Hippoglossus,Pleuronectidae,Pleuronectiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Hoplostethus mediterraneus,Species,Yes,Yes,BOLD:AAB3177,NA,NA,NA,126404,Hoplostethus,Trachichthyidae,Beryciformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Hyperoglyphe perciformis,Species,Yes,Yes,BOLD:AAX1880,NA,NA,NA,126832,Hyperoglyphe,Centrolophidae,Perciformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Icelus bicornis,Species,Yes,Yes,BOLD:ADQ8959,NA,NA,NA,127199,Icelus,Cottidae,Scorpaeniformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Icelus spatula,Species,Yes,Yes,BOLD:AAB1023,NA,NA,NA,127200,Icelus,Cottidae,Scorpaeniformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Lagenorhynchus acutus,Species,Yes,Yes,BOLD:AAZ7017,NA,NA,NA,137100,Lagenorhynchus,Delphinidae,Cetartiodactyla,Mammalia,Animalia,NA,NA,Reliable
Chordata,Chordata,Lagenorhynchus albirostris,Species,Yes,Yes,BOLD:AAJ2925,NA,NA,NA,137101,Lagenorhynchus,Delphinidae,Cetartiodactyla,Mammalia,Animalia,NA,NA,Reliable
Chordata,Chordata,Lamna nasus,Species,Yes,Yes,BOLD:AAA3577,NA,NA,NA,105841,Lamna,Lamnidae,Lamniformes,Elasmobranchii,Animalia,0,0,Reliable
Chordata,Chordata,Lampadena speculigera,Species,Yes,Yes,BOLD:AAC2331,NA,NA,Notoscopelus kroyeri,126608,Lampadena,Myctophidae,Myctophiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Lampanyctus macdonaldi,Species,Yes,Yes,BOLD:AAB3777,NA,NA,Notoscopelus kroyeri,126617,Lampanyctus,Myctophidae,Myctophiformes,Actinopterygii,Animalia,0,1,Reliable
Chordata,Chordata,Leptagonus decagonus,Species,Yes,Yes,BOLD:AAA9929,NA,NA,NA,127191,Leptagonus,Agonidae,Scorpaeniformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Leptoclinus maculatus,Species,Yes,Yes,BOLD:AAB1092,NA,NA,NA,127072,Leptoclinus,Stichaeidae,Perciformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Leucoraja ocellata,Species,Yes,Yes,BOLD:AAA5284,NA,NA,NA,158553,Leucoraja,Rajidae,Rajiformes,Elasmobranchii,Animalia,0,0,Reliable
Chordata,Chordata,Limanda ferruginea,Species,Yes,Yes,BOLD:AAA9456,NA,NA,Pleuronectes putnami,158879,Limanda,Pleuronectidae,Pleuronectiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Liparis,Genus,Yes,Yes,BOLD:AAJ2060,NA,"Liparis coheni, Liparis bathyarticus","Careproctus longipinnis, Careproctus ranula, Liparis coheni, Liparis bathyarticus",NA,Liparis,Liparidae,Scorpaeniformes,Actinopterygii,Animalia,1,1,NA
Chordata,Chordata,Liparis atlanticus,Species,Yes,Yes,BOLD:AAB4897,Liparis inquilinus,"Liparis coheni, Liparis bathyarticus","Careproctus longipinnis, Careproctus ranula, Liparis coheni, Liparis bathyarticus",159524,Liparis,Liparidae,Scorpaeniformes,Actinopterygii,Animalia,0,0,Unreliable - gaps
Chordata,Chordata,Liparis bathyarticus,Species,Yes,No,NA,NA,NA,NA,867958,Liparis,Liparidae,Scorpaeniformes,Actinopterygii,Animalia,1,1,No sequences available
Chordata,Chordata,Liparis coheni,Species,Yes,No,NA,NA,NA,NA,159525,Liparis,Liparidae,Scorpaeniformes,Actinopterygii,Animalia,1,1,No sequences available
Chordata,Chordata,Liparis fabricii,Species,Yes,Yes,BOLD:ACE3464,NA,"Liparis coheni, Liparis bathyarticus","Careproctus longipinnis, Careproctus ranula, Liparis coheni, Liparis bathyarticus",127218,Liparis,Liparidae,Scorpaeniformes,Actinopterygii,Animalia,1,1,Unreliable - gaps
Chordata,Chordata,Liparis gibbus,Species,No,No,NA,NA,NA,NA,159526,Liparis,Liparidae,Scorpaeniformes,Actinopterygii,Animalia,1,1,No sequences available
Chordata,Chordata,Liparis inquilinus,Species,Yes,Yes,"BOLD:AAB4897, BOLD:ACA5502",NA,"Liparis coheni, Liparis bathyarticus","Careproctus longipinnis, Careproctus ranula, Liparis coheni, Liparis bathyarticus",159528,Liparis,Liparidae,Scorpaeniformes,Actinopterygii,Animalia,1,1,Unreliable - gaps
Chordata,Chordata,Liparis tunicatus,Species,Yes,Yes,BOLD:AAB4896,NA,"Liparis coheni, Liparis bathyarticus","Careproctus longipinnis, Careproctus ranula, Liparis coheni, Liparis bathyarticus",154825,Liparis,Liparidae,Scorpaeniformes,Actinopterygii,Animalia,1,1,Unreliable - gaps
Chordata,Chordata,Lophius americanus,Species,Yes,Yes,BOLD:AAB4194,NA,NA,NA,159184,Lophius,Lophiidae,Lophiiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Lumpenus fabricii,Species,Yes,Yes,BOLD:ACA5456,NA,NA,NA,127073,Lumpenus,Stichaeidae,Perciformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Lumpenus lampretaeformis,Species,Yes,Yes,BOLD:ABZ5010,NA,NA,NA,154675,Lumpenus,Stichaeidae,Perciformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Lycenchelys paxillus,Species,Yes,Yes,BOLD:AAD0641,NA,NA,Lycodes terraenovae,159257,Lycenchelys,Zoarcidae,Perciformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Lycenchelys verrillii,Species,Yes,Yes,BOLD:AAD9732,NA,NA,Lycodes terraenovae,159258,Lycenchelys,Zoarcidae,Perciformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Lycodes,Genus,Yes,Yes,"BOLD:ABZ0973, BOLD:ACE4278",NA,Lycodes terraenovae,Lycodes terraenovae,NA,Lycodes,Zoarcidae,Perciformes,Actinopterygii,Animalia,1,1,NA
Chordata,Chordata,Lycodes esmarkii,Species,Yes,Yes,BOLD:ACF1295,NA,Lycodes terraenovae,Lycodes terraenovae,127103,Lycodes,Zoarcidae,Perciformes,Actinopterygii,Animalia,0,0,Unreliable - gaps
Chordata,Chordata,Lycodes lavalaei,Species,Yes,Yes,BOLD:AAC3262,Lycodes polaris,Lycodes terraenovae,Lycodes terraenovae,127107,Lycodes,Zoarcidae,Perciformes,Actinopterygii,Animalia,0,0,Unreliable - gaps
Chordata,Chordata,Lycodes polaris,Species,Yes,Yes,BOLD:AAC3262,Lycodes lavalaei,Lycodes terraenovae,Lycodes terraenovae,127111,Lycodes,Zoarcidae,Perciformes,Actinopterygii,Animalia,1,1,Unreliable - gaps
Chordata,Chordata,Lycodes terraenovae,Species,Yes,No,NA,NA,NA,NA,127117,Lycodes,Zoarcidae,Perciformes,Actinopterygii,Animalia,1,1,No sequences available
Chordata,Chordata,Lycodes vahlii,Species,Yes,Yes,BOLD:ABZ0971,NA,Lycodes terraenovae,Lycodes terraenovae,127118,Lycodes,Zoarcidae,Perciformes,Actinopterygii,Animalia,0,0,Unreliable - gaps
Chordata,Chordata,Malacocephalus occidentalis,Species,Yes,Yes,BOLD:AAC6235,NA,NA,NA,158741,Malacocephalus,Macrouridae,Gadiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Malacoraja senta,Species,Yes,Yes,BOLD:AAA4501,NA,NA,NA,158554,Malacoraja,Rajidae,Rajiformes,Elasmobranchii,Animalia,0,0,Reliable
Chordata,Chordata,Mallotus villosus,Species,Yes,Yes,BOLD:ACT1315,NA,NA,NA,126735,Mallotus,Osmeridae,Osmeriformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Melanogrammus aeglefinus,Species,Yes,Yes,BOLD:AAA7367,NA,NA,NA,126437,Melanogrammus,Gadidae,Gadiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Melanostigma atlanticum,Species,Yes,Yes,BOLD:AAC0509,NA,NA,Lycodes terraenovae,127120,Melanostigma,Zoarcidae,Perciformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Menidia menidia,Species,Yes,Yes,BOLD:AAC1370,NA,NA,NA,159228,Menidia,Atherinopsidae,Atheriniformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Merluccius bilinearis,Species,Yes,Yes,BOLD:AAB0057,NA,NA,NA,158962,Merluccius,Merlucciidae,Gadiformes,Actinopterygii,Animalia,0,1,Reliable
Chordata,Chordata,Microgadus tomcod,Species,Yes,Yes,BOLD:AAC4509,NA,NA,NA,158928,Microgadus,Gadidae,Gadiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Micromesistius poutassou,Species,Yes,Yes,BOLD:AAA7789,NA,NA,NA,126439,Micromesistius,Gadidae,Gadiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Mola mola,Species,Yes,Yes,"BOLD:ADK1672, BOLD:AAD0035, BOLD:AAD0034",NA,NA,NA,127405,Mola,Molidae,Tetraodontiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Morone americana,Species,Yes,Yes,BOLD:AAB9776,NA,NA,NA,151177,Morone,Moronidae,Perciformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Morone saxatilis,Species,Yes,Yes,BOLD:AAC7863,NA,NA,NA,151179,Morone,Moronidae,Perciformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Myctophum punctatum,Species,Yes,Yes,BOLD:AAB5848,NA,NA,Notoscopelus kroyeri,126627,Myctophum,Myctophidae,Myctophiformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Myoxocephalus aenaeus,Species,Yes,Yes,BOLD:AAB4268,NA,NA,NA,159519,Myoxocephalus,Cottidae,Scorpaeniformes,Actinopterygii,Animalia,0,1,Reliable
Chordata,Chordata,Myoxocephalus octodecemspinosus,Species,Yes,Yes,BOLD:AAA7008,NA,NA,NA,159520,Myoxocephalus,Cottidae,Scorpaeniformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Myoxocephalus scorpius,Species,Yes,Yes,BOLD:AAA7007,NA,NA,NA,127203,Myoxocephalus,Cottidae,Scorpaeniformes,Actinopterygii,Animalia,0,1,Reliable
Chordata,Chordata,Myxine glutinosa,Species,No,No,NA,NA,NA,NA,101170,Myxine,Myxinidae,Myxiniformes,Myxini,Animalia,0,1,No sequences available
Chordata,Chordata,Myxine limosa,Species,Yes,Yes,BOLD:AAC3561,NA,NA,NA,271309,Myxine,Myxinidae,Myxiniformes,Myxini,Animalia,0,1,Reliable
Chordata,Chordata,Nemichthys scolopaceus,Species,Yes,Yes,BOLD:AAB5787,NA,NA,NA,126306,Nemichthys,Nemichthyidae,Anguilliformes,Actinopterygii,Animalia,0,0,Reliable
Chordata,Chordata,Neoscopelus macrolepidotus,Species,Yes,Yes,BOLD:AAC7238,NA,NA,NA,126634,Neoscopelus,Neoscopelidae,Myctophiformes,Actinopterygii,Animalia,0,0,Reliable
